2025-07-15T01:35:25.550216,snake,snake,draw
2025-07-15T01:35:28.447840,water,snake,lose
2025-07-15T01:35:30.716242,gun,snake,win
2025-07-15T01:35:32.899747,snake,snake,draw
2025-07-15T01:35:35.059673,water,snake,lose
2025-07-15T01:35:36.992393,snake,snake,draw
2025-07-15T01:35:39.878833,snake,snake,draw
2025-07-15T01:35:42.594257,gun,gun,draw
2025-07-15T01:35:46.246720,water,gun,win
2025-07-15T01:35:48.774814,water,gun,win
2025-07-15T01:35:51.682976,water,snake,lose
2025-07-15T01:35:53.262966,gun,water,lose
2025-07-15T01:37:34.949397,snake,gun,lose
2025-07-15T01:37:39.173727,water,snake,lose
2025-07-15T01:37:40.751040,gun,water,lose
2025-07-15T01:37:42.503010,water,snake,lose
2025-07-15T01:37:45.790002,gun,snake,win
2025-07-15T01:37:47.356130,snake,water,win
